64,59,40,426,562,539,153,103,65,16,341,170,441,77,301,267,99,152,25,62,Prediction
21.7264,-1.7264,61.29,1.7275,,2.057,0.0167,-0.0042,29.5367,10.0433,2.8551,0.725,0.8693,0.0141,0.6083,0.0472,-0.0251,0.4734,0.8955,108.6427,PASS
19.1927,0.8073,78.25,1.4857,,1.791,0.0144,-0.0045,27.6301,9.2599,2.4278,1.0498,1.2364,0.0004,0.8151,0.0411,-0.0158,0.5666,1.2973,113.98,PASS
16.1755,23.8245,14.37,1.8268,267.064,2.1538,0.0177,-0.0026,24.2829,9.3144,3.7663,1.0824,1.2771,-0.0052,0.6964,0.0487,0.1218,0.4909,1.3122,115.6273,FAIL
15.6209,24.3791,76.9,1.5441,268.228,2.1565,0.015,-0.0059,23.4736,9.6924,3.0229,0.9386,1.1054,-0.04,0.6305,0.0513,-0.0195,1.3029,1.3137,116.1818,PASS
32.2945,-12.2945,76.39,1.2943,,2.0579,0.0126,-0.0045,44.1498,10.3387,3.0939,0.5760000000000001,0.6672,-0.0167,1.35,0.0488,-0.0167,0.4434,1.2887,144.0191,PASS
11.7045,28.2955,59.94,1.0841,254.006,1.791,0.0106,-0.0052,18.3685,9.2441,3.7242,0.6308,0.7384,-0.001,0.632,0.0411,-0.0419,0.5564,0.893,130.5545,PASS
17.8891,2.1109,74.46,1.9544,,1.4336,0.0189,-0.0042,26.2754,9.999,4.1816,0.5811,0.6667,-0.0321,0.9513,0.0333,0.0577,0.4136,0.9063,114.4564,PASS
10.8691,29.1309,78.09,1.6483,265.09,1.4141,0.016,-0.0057,15.3094,9.6836,4.958,0.8182,0.9753,0.0249,0.5831,0.0331,-0.0102,1.3097,1.328,131.4255,PASS
13.0209,26.9791,61.1,1.5571,265.184,1.4141,0.0151,-0.0048,19.9475,9.7046,2.7826,0.5087,0.5955,-0.0629,0.7583,0.0331,0.0791,1.3892,0.6829999999999999,129.68,PASS
